City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
peniche,39.3558,-9.3811,71.08,91,15,9.44,PT,1627246820
guerrero,17.6667,-100.0,80.01,64,67,3.18,MX,1627246677
george,-33.963,22.4617,51.35,58,0,3.44,ZA,1627246820
aklavik,68.2191,-135.0107,54.43,68,100,16.24,CA,1627246778
gondar,12.6,37.4667,57.11,94,100,1.95,ET,1627246821
lekoni,-1.5843,14.2591,83.7,40,97,8.14,GA,1627246822
flinders,-34.5833,150.8552,55.26,68,0,4.0,AU,1627246742
esperance,-33.8667,121.9,51.64,87,2,17.87,AU,1627246668
lorengau,-2.0226,147.2712,78.89,82,97,8.28,PG,1627246683
manzhouli,49.6,117.4333,54.99,90,19,5.23,CN,1627246823
auray,47.6703,-2.9918,64.89,91,49,7.16,FR,1627246823
fountain hills,38.6822,-104.7008,90.86,45,75,11.5,US,1627246824
moranbah,-22.0016,148.0466,49.08,48,5,9.53,AU,1627246824
buraydah,26.326,43.975,95.41,13,2,10.94,SA,1627246825
tocopilla,-22.092,-70.1979,63.5,72,100,11.3,CL,1627246825
ampanihy,-24.7,44.75,61.41,70,64,13.73,MG,1627246826
tiksi,71.6872,128.8694,49.66,80,100,7.23,RU,1627246679
ron,15.6667,75.7333,71.37,89,68,16.46,IN,1627246827
alekseyevka,50.6309,38.6903,66.07,55,62,7.56,RU,1627246827
rorvik,64.8621,11.2373,53.71,100,90,9.22,NO,1627246828
college,64.8569,-147.8028,66.99,57,55,3.0,US,1627246828
mezhdurechensk,53.6942,88.0603,60.64,97,84,2.93,RU,1627246829
hasaki,35.7333,140.8333,75.6,78,9,16.53,JP,1627246677
itum-kale,42.7356,45.5758,65.37,92,45,3.98,RU,1627246830
mys shmidta,62.0589,48.6201,51.73,79,86,5.66,RU,1627246830
ovalle,-30.5983,-71.2003,62.33,43,0,8.43,CL,1627246625
trairi,-3.2778,-39.2689,78.22,74,13,11.9,BR,1627246831
bambous virieux,-20.2567,57.4061,67.14,62,4,11.92,MU,1627246831
cabo san lucas,-8.2833,-35.0333,71.53,89,26,8.08,BR,1627246832
ouesso,1.6136,16.0517,73.0,87,100,3.04,CG,1627246832
wanaka,-44.7,169.15,44.11,99,100,1.1,NZ,1627246832
adrar,20.5022,-10.0711,99.16,7,13,7.81,MR,1627246733
russell,32.3502,-85.1999,92.98,65,91,0.67,US,1627246833
nanortalik,60.1432,-45.2371,44.78,74,78,13.49,GL,1627246780
shahreza,32.0339,51.8794,76.8,17,2,2.53,IR,1627246834
yumen,40.2833,97.2,74.59,35,4,11.16,CN,1627246834
north kessock,50.3333,3.6667,66.6,93,78,6.89,FR,1627246835
patti,31.2808,74.8572,87.75,59,100,7.49,IN,1627246836
kurgan,55.45,65.3333,50.09,59,0,6.93,RU,1627246705
les escoumins,42.8108,0.7105,67.26,95,96,1.9,ES,1627246836
morant bay,17.9,-76.4333,83.73,71,86,5.48,JM,1627246836
srandakan,-7.9386,110.2506,69.01,91,24,4.0,ID,1627246837
zhanaozen,43.3,52.8,84.25,28,0,18.45,KZ,1627246838
karratha,-20.7377,116.8463,68.38,49,69,5.39,AU,1627246838
luderitz,-26.6481,15.1594,66.85,22,100,4.27,NA,1627246667
bubaque,11.2833,-15.8333,79.38,81,100,7.58,GW,1627246703
tautira,-17.7333,-149.15,82.42,68,0,10.22,PF,1627246839
koungheul,13.9833,-14.8,83.46,70,98,11.07,SN,1627246839
taltal,-25.4,-70.4833,60.08,73,24,4.99,CL,1627246840
